Catholic School Literacy,Catholic University Applicants,,,,,,,,,
68.518516,33.110366,,,,,,,,,
59.2,19.122257,,,,,,,,,
68.888885,33.116882,,,,,,,,,
74.074073,32.330825,,,,,,,,,
59.2,28.695652,,,,,,,,,
76.666664,42.060085,,,,,,,,,
84.771575,52,,,,,,,,,
81.034484,45.76271,,,,,,,,,
85.454544,61.85567,,,,,,,,,
91.304344,68.918922,,,,,,,,,
86.71875,59.778598,,,,,,,,,
91.666664,66.666664,,,,,,,,,
81.707313,46.226413,,,,,,,,,
86.428573,62.551441,,,,,,,,,
92.857139,68.421051,,,,,,,,,
91.489364,49.35065,,,,,,,,,
86.124404,53.535354,,,,,,,,,
87.209304,48.863636,,,,,,,,,
85.542167,51.315788,,,,,,,,,
91.216217,55.172412,,,,,,,,,
70.400001,27.058822,,,,,,,,,
67.346939,32.967033,,,,,,,,,
76.5625,37.430168,,,,,,,,,
54.787235,22.64151,,,,,,,,,
66.871162,28.498727,,,,,,,,,
76.190475,31.914894,,,,,,,,,
74.725273,37.991268,,,,,,,,,
68.06723,39.2,,,,,,,,,
75.833335,38.46154,,,,,,,,,
66.315788,34.433963,,,,,,,,,
78.709678,37.5,,,,,,,,,
69.607841,35.294116,,,,,,,,,
80.882354,45.348838,,,,,,,,,
90.625,43.939392,,,,,,,,,
69.230766,35,,,,,,,,,
81.818183,52.702701,,,,,,,,,
90.625,62.222221,,,,,,,,,
95.555557,48.648647,,,,,,,,,
78.846153,52.307693,,,,,,,,,
90.909088,51.515151,,,,,,,,,
87.5,66.666664,,,,,,,,,
91.228073,61.666667,,,,,,,,,
78.260871,34.88372,,,,,,,,,
75,35.802467,,,,,,,,,
77.832511,47.417839,,,,,,,,,
82.53968,61.842105,,,,,,,,,
77.192985,55.882354,,,,,,,,,
87.719299,68.888885,,,,,,,,,
78.431373,60.869564,,,,,,,,,
84.210525,73.529411,,,,,,,,,
89.393936,62.5,,,,,,,,,
75.925926,59.649124,,,,,,,,,
81.395347,38.028167,,,,,,,,,
83.582092,36.231884,,,,,,,,,
85.714286,21.428571,,,,,,,,,
83.333335,53.57143,,,,,,,,,
65.217391,46.153846,,,,,,,,,
87.5,22.857143,,,,,,,,,
88.888885,48.837207,,,,,,,,,
69.230766,33.333332,,,,,,,,,
75,36.842105,,,,,,,,,
80,40.625,,,,,,,,,
86.486488,54.166667,,,,,,,,,
67.741935,33.333332,,,,,,,,,
64,32.558139,,,,,,,,,
85.714286,44.444442,,,,,,,,,
85.714286,80,,,,,,,,,
70,26.666666,,,,,,,,,
53.333332,27.272727,,,,,,,,,
65.116279,38.235294,,,,,,,,,
76.92308,50,,,,,,,,,
63.636363,22.916666,,,,,,,,,
40,14.285714,,,,,,,,,
64.285713,25.352111,,,,,,,,,
64.285713,33.333332,,,,,,,,,
92.307693,58.333332,,,,,,,,,
61.11111,54.545455,,,,,,,,,
61.538459,21.276596,,,,,,,,,
66.666664,60,,,,,,,,,
75,32.352939,,,,,,,,,
72.222221,22.580644,,,,,,,,,
63.636363,26.086956,,,,,,,,,
71.428573,24.050632,,,,,,,,,
64.38356,24.691358,,,,,,,,,
70.129867,38.46154,,,,,,,,,
77.272727,45,,,,,,,,,
87.719299,61.016948,,,,,,,,,
76.666664,51.282051,,,,,,,,,
91.176467,56.666667,,,,,,,,,
76.25,33.333332,,,,,,,,,
67.073173,14.438502,,,,,,,,,
64.11483,30.47619,,,,,,,,,
66.666664,22.418878,,,,,,,,,
67.391304,27.777778,,,,,,,,,
68.75,29.166666,,,,,,,,,
100,33.333332,,,,,,,,,
50,0,,,,,,,,,
62.5,46.153846,,,,,,,,,
90,33.333332,,,,,,,,,
50,42.857143,,,,,,,,,
50,60,,,,,,,,,
80,29.166666,,,,,,,,,
100,54.545455,,,,,,,,,
82.14286,40,,,,,,,,,
96.428573,75.862068,,,,,,,,,
84.848487,45.098037,,,,,,,,,
72.330093,30.601093,,,,,,,,,
71.830986,32.121212,,,,,,,,,
65.243904,23.699422,,,,,,,,,
67.53247,17.021276,,,,,,,,,
68.446601,28.806585,,,,,,,,,
59.322032,31.74603,,,,,,,,,
61.654136,33.858268,,,,,,,,,
85.29412,48.648647,,,,,,,,,
63.809524,26.923076,,,,,,,,,
91.025642,63.380283,,,,,,,,,
85.074623,43.554008,,,,,,,,,
80.357139,47.692306,,,,,,,,,
87.431694,45.212764,,,,,,,,,
86.861312,40,,,,,,,,,
69.014083,32.894737,,,,,,,,,
95.652175,37.634407,,,,,,,,,
84.848487,48.245613,,,,,,,,,
81.060607,36.184211,,,,,,,,,
73.626373,37.864078,,,,,,,,,
78.448272,38.194442,,,,,,,,,
83.941604,37.356323,,,,,,,,,
87.012985,45.081966,,,,,,,,,
80,50.877193,,,,,,,,,
82.692306,52.666667,,,,,,,,,
79.629631,45.127117,,,,,,,,,
73.198196,32.8125,,,,,,,,,
85.897438,53.164558,,,,,,,,,
84.033615,53.374233,,,,,,,,,
81.25,39.215686,,,,,,,,,
80.213905,38.425926,,,,,,,,,
78.787879,37.049179,,,,,,,,,
72.727272,42.424243,,,,,,,,,
76.190475,32.258064,,,,,,,,,
93.333335,42.5,,,,,,,,,